stock_no,item_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
0MNZ5,227872,HK,G,round,0.30,D,VVS1,EX,EX,EX,N,4.26-4.29x2.69,GIA,6381921397,3000,-36.90%,$567.90,WH,M0,,,BT0,BC0,EC0,,Y,56.00,62.90,36.50,40.80,Feather  Surface Graining,N,2021-06-05,,Arrived,,,NO BGM  no black
XLNZ5,227869,HK,G,round,0.30,H,VVS1,EX,EX,EX,N,4.36-4.38x2.61,GIA,7383870623,2300,-33.60%,$458.16,WH,M0,,,BT0,BC0,EC0,,Y,58.00,59.70,32.50,41.00,Feather,N,2021-05-31,,Arrived,,,NO BGM  no black
WLNZ5,227868,HK,G,round,0.30,F,IF,EX,EX,EX,N,4.29-4.31x2.68,GIA,1399786184,2900,-37.90%,$540.27,WH,M0,,,BT0,BC0,EC0,EX,Y,56.00,62.40,36.00,40.80,Minor Details of Polish,N,2021-08-04,,Arrived,,,NO BGM  no black
VLNZ5,227867,HK,G,round,0.30,F,VVS2,EX,EX,EX,N,4.37-4.39x2.59,GIA,1409597458,2500,-34.10%,$494.25,WH,M0,,,BT0,BC0,EC0,,Y,59.00,59.20,32.00,41.00,Pinpoint  Feather  Indented Natural,N,2021-09-29,,Arrived,,,NO BGM  no black
ULNZ5,227866,HK,G,round,0.30,H,VVS2,EX,EX,EX,N,4.32-4.35x2.63,GIA,6392866701,2200,-31.60%,$451.44,WH,M0,,,BT0,BC0,EC0,,Y,60.00,60.70,32.50,41.60,Pinpoint  Feather,N,2021-08-11,,Arrived,,,NO BGM  no black
TLNZ5,227865,HK,G,round,0.30,H,VVS2,EX,EX,EX,N,4.29-4.32x2.67,GIA,6405581503,2200,-31.40%,$452.76,WH,M0,,,BT0,BC0,EC0,EX,Y,56.00,62.10,36.00,40.60,Pinpoint,N,2021-09-27,,Arrived,,,NO BGM  no black
SLNZ5,227864,HK,G,round,0.30,G,VVS2,EX,EX,EX,N,4.26-4.29x2.67,GIA,2407429229,2300,-32.10%,$468.51,WH,M0,,,BT0,BC0,EC0,,Y,59.00,62.50,34.50,41.80,Needle  Cloud  Pinpoint,N,2021-09-16,,Arrived,,,NO BGM  no black
RLNZ5,227863,HK,G,round,0.30,E,VVS2,EX,EX,EX,N,4.34-4.37x2.64,GIA,6401535310,2600,-36.10%,$498.42,WH,M0,,,BT0,BC0,EC0,,Y,59.00,60.50,32.50,41.60,Feather  Indented Natural  Pinpoint,N,2021-09-24,,Arrived,,,NO BGM  no black
QLNZ5,227862,HK,G,round,0.30,H,VVS1,VG,EX,VG,N,4.17-4.21x2.70,GIA,2404183762,2300,-41.70%,$402.27,WH,M0,,,BT0,BC0,EC0,,Y,57.00,64.40,37.50,40.60,Pinpoint  Feather,N,2021-09-02,,Arrived,,,NO BGM  no black
PLNZ5,227861,HK,G,round,0.30,H,VVS1,VG,VG,VG,N,4.18-4.24x2.68,GIA,5396863748,2300,-41.90%,$400.89,WH,M0,,,BT0,BC0,EC0,EX,Y,56.00,63.70,36.50,40.60,Cloud  Feather,N,2021-08-09,,Arrived,,,NO BGM  no black
